,id,screen_name,astroturf,fake_follower,financial,other,overall,self_declared,spammer,english,universal
0,1173172854323474433,katturipalli,0.2,4.6,4.0,3.2,4.6,2.5,2.2,0.876192840850988,1.0
0,2451544045,i_SuDhEe,0.2,4.4,2.9,4.8,4.8,3.6,2.8,0.9077975241648624,0.859576255252869
0,79408792,yudy_211112,0.0,3.7,0.6,4.4,4.4,3.6,3.4,0.8595061719862279,0.8421031637823202
0,1493050135433326593,asdf73615317,0.8,2.9,0.4,2.4,2.9,0.2,1.8,0.7967905786038864,0.8052475029769541
0,1525321826338910208,TonySaladoDG,0.1,5.0,2.3,5.0,5.0,3.1,1.6,1.0,1.0
0,122616735,ajithkvk,0.4,3.2,0.9,2.6,3.2,1.9,2.7,0.7965971518887632,0.8252572897541253
0,1525321913458839552,hansraj_cheena,0.0,4.0,1.5,4.8,4.8,4.4,2.6,0.9158377984126878,0.8733944954488508
0,1525319034514046976,aussiehodgie,0.2,4.1,1.9,3.2,4.1,3.2,3.4,0.8240917140475522,0.8574321814269442
0,185714179,Georgianna21,0.4,0.1,0.4,0.4,0.1,0.0,0.0,0.2520419704315795,0.37678996390568303
0,2198313669,itsmepolash,0.2,2.9,0.6,2.4,2.9,0.6,2.7,0.7968599400514179,0.799570188835745
0,1525225297833959424,FarukAl56916964,0.1,5.0,2.3,5.0,5.0,2.9,0.4,1.0,1.0
0,1491321034305417216,yaxybunny2,0.1,1.8,0.1,1.8,1.7,0.2,0.9,0.7874002196908744,0.8053747654061287
0,1496536418507759627,AbraraliKayani1,0.6,3.6,2.4,3.7,3.7,3.2,2.2,0.8008799175144752,0.8193478253485871
0,1427330501266665474,SnehaDudhwadkar,0.8,2.8,1.7,4.2,4.2,0.4,1.1,0.8339181685112829,0.8474634546636374
0,8277512,UncleSpidey,0.4,3.8,0.8,3.5,3.8,2.9,3.4,0.8054784364249085,0.8474634546636374
0,2271668233,dhawalkhatri786,0.2,4.5,2.4,3.8,4.5,2.3,3.8,0.8670116134145492,0.8808312676897403
0,1244124428176261121,Rajatrokde01,0.0,4.8,0.8,3.6,4.8,2.8,3.9,0.923535423667034,0.9338419498718862
0,111349559,javierdfa,0.1,2.8,0.4,1.8,2.8,0.0,1.5,0.7969945574902298,0.8052478284119403
0,610599722,aaolccstand4hk,1.1,2.0,2.0,4.1,4.1,0.2,0.2,0.8240917140475522,0.8082278383974655
0,1312058635762237444,BaburyanNarina,0.2,4.1,0.6,3.5,4.1,2.7,2.8,0.816204310368583,0.8169336709169681
0,1525321173193502720,aaliyahminor7,0.7,4.4,2.8,4.0,4.4,1.4,3.2,0.8595061719862279,0.8885263643630983
0,1525321777391738881,lhh1553136225,0.1,5.0,2.8,5.0,5.0,2.8,1.2,1.0,1.0
0,3098953225,Musab_jam3,0.0,2.7,0.9,3.8,3.8,1.3,1.6,0.8036706514015852,0.7966241294741505
0,1518692494112096256,emeryx_nz,0.2,5.0,3.9,4.7,5.0,2.6,2.4,0.9373635156266058,1.0
0,1525319412202577943,TheRevOfRoofing,0.1,5.0,3.4,4.8,5.0,2.8,4.9,1.0,1.0
0,271653223,Marcel_TVR,0.1,4.1,0.2,4.5,4.5,2.9,2.9,0.8670116134145492,0.8193478253485871
0,930619837,Aljathiyah1,0.5,3.2,0.4,3.0,1.6,3.2,1.7,0.7852210697594887,0.8148417533461276
0,1465502276689137671,Jay_causewhynot,0.2,3.8,2.8,3.3,3.8,1.0,2.8,0.8021481695167405,0.8421031637823202
0,1033675122442416128,_sheikhnasir_,0.1,3.8,1.0,4.0,4.0,2.9,3.7,0.812935016236137,0.8474634546636374
0,1525315833844707331,FitnessforGods3,0.8,3.6,2.6,3.5,3.6,3.1,2.7,0.7983123643488195,0.8074910771589409
0,926869326841311233,Raviparisi,0.6,3.8,2.9,3.6,3.8,3.4,2.6,0.8036706514015852,0.8532920387559139
0,1525316626467278849,Otterwall1,0.2,5.0,2.9,4.7,5.0,2.8,5.0,1.0,1.0
0,1126570415525122048,lakeshowing,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.22631829961109876,0.28846389695411967
0,1430642250573225985,faggotmaxxx,0.4,2.0,0.6,0.8,1.8,0.0,1.3,0.7892294694438972,0.801617083559931
0,1851908426,gvnair91,1.6,0.6,0.0,2.7,1.6,0.0,0.0,0.779581525363529,0.7784494983408411
0,1358445390836736004,idkjozefa,0.2,0.5,0.0,1.2,0.8,0.4,0.4,0.621687023966582,0.7089830786080018
0,1525321403297308673,sllleco,0.1,5.0,1.9,4.8,5.0,3.1,3.2,0.9373635156266058,1.0
0,1487386563269263360,angad_munda,0.4,4.4,3.6,3.8,4.4,2.2,2.2,0.8457543526336647,0.8808312676897403
0,1355014298137890816,laneyraeparker,0.4,0.6,0.0,0.6,0.6,0.2,0.4,0.5288664776112156,0.7334998320027682
0,154859874,p_razy,0.2,0.1,0.4,1.3,0.6,0.0,0.0,0.5539725719744064,0.2603678379426137
0,3432399086,VenegasEsc,0.1,2.9,1.6,3.6,3.6,1.0,2.0,0.7983123643488195,0.8048245702790952
0,1525319041304657920,Rocky88i,0.1,2.9,3.8,5.0,5.0,2.8,1.1,0.9373635156266058,1.0
0,1525321612190355456,p2xq4aygeth8yk,0.1,5.0,2.3,5.0,5.0,2.9,0.4,1.0,1.0
0,1525321365120864256,FacundWere,0.4,4.4,3.9,4.6,4.6,2.7,2.4,0.8748575042966269,0.9121502174127201
0,1525321271457849344,LPWServices_,0.3,4.9,4.1,3.4,4.9,2.5,3.9,0.9307543294922915,1.0
0,1488761979506462721,DaveMoped,0.5,4.8,4.6,3.1,4.8,2.0,2.2,0.9077975241648624,0.9197876419218655
0,3249012002,viraj_kolapkar,0.0,1.8,0.1,1.2,1.6,0.2,0.9,0.7826357858330618,0.7674214324358889
0,1230619194,Ranaubaid191,0.0,2.6,1.0,1.6,2.6,0.0,1.6,0.7971738960175367,0.7334998320027682
0,1525321727550427141,clownstafa,0.1,4.6,3.8,5.0,5.0,3.0,1.6,0.9373635156266058,1.0
0,712821997,jandoomt,0.0,2.8,0.1,2.8,2.8,0.4,2.0,0.7969945574902298,0.7784494983408411
0,1473760523887984646,Zu_Al_Karnayn,0.4,2.6,0.4,3.2,3.2,2.3,1.6,0.796599114745521,0.8052746490850863
0,2219729629,Koushikreus11,0.0,2.9,0.3,1.4,1.9,0.0,1.0,0.793087009461318,0.8064216072785402
0,308274327,YWF76,0.1,5.0,1.8,5.0,5.0,3.0,3.7,1.0,1.0
0,1271259849490403329,bitruti,0.2,2.0,0.1,3.1,3.2,3.2,1.2,0.7966368747455678,0.7828265255249504
0,725748391137927168,Nurettinseker27,0.2,5.0,2.6,4.1,5.0,2.7,2.8,0.9373635156266058,0.9121502174127201
0,1402220250951667721,SUPRITIROY19,0.1,4.7,3.2,5.0,5.0,3.0,1.0,0.9373635156266058,1.0
0,1942448982,SmugGames,0.4,0.4,0.8,1.4,0.4,0.0,0.0,0.3912159239072283,0.40673978557586005
0,921112217533255681,RascaCullo,0.4,3.4,1.6,2.8,3.4,0.8,2.7,0.7968624754031172,0.799570188835745
0,850982898,PatriceMullen7,0.1,4.9,1.6,4.8,4.9,3.0,1.6,0.9307543294922915,1.0
0,1508893337821929472,Amangrewal1000,0.7,1.2,0.1,0.8,1.7,0.1,1.1,0.7874002196908744,0.7947108099739177
0,236171462,LuisRomero_30,0.1,1.7,0.4,1.8,1.8,0.0,1.2,0.7920317685697057,0.6207049850511144
0,1166521649971154945,OldManGordo,1.0,0.6,0.2,1.0,0.6,0.2,0.1,0.5027122940873614,0.5222398722127631
0,1482581961512452097,OAKKKK16,0.1,4.1,1.6,4.5,4.5,1.6,2.2,0.8670116134145492,0.8885263643630983
0,1311427323292418051,sniffing4votes,0.4,3.4,0.4,2.8,1.4,2.9,0.4,0.7668769621923945,0.8327856038833207
0,1341332988257329152,scotty24001413,1.6,0.5,0.9,2.0,1.3,0.2,0.0,0.7546218700467833,0.792436790569533
0,1525320574586609665,TUNUTUNU20,0.6,4.2,3.2,3.4,4.2,3.1,3.0,0.8339181685112829,0.859576255252869
0,1525321184195162112,dengerus_me,0.4,3.1,1.6,3.7,4.1,4.1,2.6,0.8240917140475522,0.8733944954488508
0,44290990,Jyotthsnaa,0.3,0.7,0.2,1.6,0.8,0.0,0.2,0.6414184221423734,0.7527121552274618
0,1423220039394598916,RaviYad86995125,0.4,3.3,1.0,3.0,3.3,0.2,1.9,0.7967206940193189,0.8053429027352532
0,770950523977510912,NanCoin,0.5,4.8,1.6,4.1,4.8,2.8,3.0,0.9158377984126878,0.9270685798190942
0,143452468,Milkboa,0.2,4.1,1.5,2.8,4.1,2.6,3.2,0.8199148539199458,0.8733944954488508
0,1141880549746757632,henry87260862,0.8,4.7,2.6,4.8,4.8,2.9,2.4,0.9158377984126878,0.8963872382550993
0,1525320911209078788,Wasif01639101,0.4,4.8,2.0,4.6,4.8,3.6,3.2,0.9077975241648624,0.9338419498718862
0,1025957218816946176,TCAO1xB8lC7obMN,0.1,4.6,1.2,4.1,4.6,3.4,3.6,0.8829632678129363,0.8885263643630983
0,1255118229841813505,LucasBraunCruz,0.5,3.8,4.6,4.5,4.6,2.9,1.7,0.8912318555080615,0.9172740320522369
0,1394881559178579972,rosalesrenelyn1,0.1,1.8,0.4,1.1,2.0,0.0,0.4,0.7939576449836836,0.792436790569533
0,1490992524403429380,chenchuyi4,0.6,4.4,0.8,3.2,4.4,3.4,2.2,0.8457543526336647,0.8733944954488508
0,1177155589308375041,RdeB00897313,1.2,1.7,0.4,2.6,2.6,1.5,0.5,0.7971665256798767,0.799570188835745
0,1475955546658426888,BookBanterCafe,1.2,1.2,0.4,1.6,1.4,0.2,0.8,0.7668769621923945,0.7828265255249504
0,3147336972,masacky,0.2,4.9,1.5,4.4,4.9,2.8,3.4,0.9272130697803054,1.0
0,1050045738,Anjalikhudrejiy,0.4,1.0,0.1,3.2,3.2,1.9,0.5,0.7966368747455678,0.8054092120440788
0,1514156509655183360,Berin90580934,0.6,1.9,2.4,3.8,3.8,3.4,2.3,0.8021481695167405,0.8057684213303521
0,1525321293020614657,TheLiz01,0.4,5.0,4.6,4.4,5.0,2.9,2.3,1.0,0.9338419498718862
0,91155651,nikhilgulmohar,0.1,2.8,1.2,2.0,2.8,0.0,1.6,0.7969945574902298,0.8048245702790952
0,1523052848078012416,IvanVF99,0.3,4.5,3.6,3.9,4.5,2.8,2.4,0.8670116134145492,0.9121502174127201
0,4865979323,eze_udembaNG,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.23332432370635456
0,1271266485067894789,vaibhav1330,0.3,2.4,0.4,2.3,2.4,1.0,2.0,0.7970609972920484,0.8050029368890766
0,4507238440,JulianFelipeDu7,0.1,0.4,1.2,3.0,1.6,0.0,0.2,0.7826357858330618,0.5742686032713971
0,2950458758,f17e30fd2441411,0.2,1.5,0.2,2.2,2.1,0.1,0.6,0.795728227940139,0.37678996390568303
0,888175296293347330,Blindside_MB,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.23332432370635456
0,1525318584305455104,Machiatto4107,0.1,5.0,1.5,4.8,5.0,3.0,4.0,0.9373635156266058,1.0
0,818005076086140928,TheGeraG4mer,0.0,3.5,1.2,3.1,3.5,0.0,1.8,0.797782173166965,0.8052109974132647
0,1525144692496670728,laced_eth,0.6,3.6,2.6,4.2,4.2,4.0,3.2,0.8287549877594508,0.8404210460143642
0,4076298621,tiagoretambay,0.1,1.1,0.9,2.3,1.2,0.0,0.3,0.7384783166429812,0.40673978557586005
0,2940129372,quangcuong_ktd,0.0,5.0,1.4,4.4,5.0,2.7,3.2,1.0,0.9338419498718862
0,1400126324967084040,Shirefelsayed5,0.2,4.6,2.4,4.8,4.8,3.6,3.2,0.9077975241648624,0.8963872382550993
0,1375793821469003780,MShehzadHarooni,0.6,1.0,0.2,1.3,1.4,0.1,0.2,0.7668769621923945,0.3469210182245441
0,1376065932,OVillalobos07,0.2,1.4,0.6,2.2,1.4,0.0,0.6,0.7668769621923945,0.6207049850511144
0,2444379607,CaitlinPrenga,0.2,3.5,0.4,3.2,3.5,2.3,2.6,0.797782173166965,0.8532920387559139
0,1524035579805007873,evolbiohzrd,0.2,4.6,1.0,3.7,4.6,3.6,4.2,0.8912318555080615,0.904303821618659
0,1223461578370101248,Mo_Noor_,0.2,3.4,1.8,4.0,4.0,3.7,2.8,0.812935016236137,0.8057684213303521
0,3857319495,eluno59,3.3,1.5,0.0,3.6,3.6,0.0,0.1,0.7983123643488195,0.7219510972984345
0,400295549,Slammy2323,0.1,1.4,0.1,1.4,0.8,0.8,0.6,0.6004883262510591,0.792436790569533
0,1395899235174846466,vicelato,0.3,2.5,0.8,3.2,3.2,0.8,1.1,0.796599114745521,0.6415870166679795
0,1525321615017394177,Hmode75593088,0.6,3.8,1.0,4.8,4.8,4.0,2.2,0.9077975241648624,0.8327856038833207
0,1475082469980340225,pauldanielluci1,0.6,4.6,3.6,4.4,4.6,2.7,2.6,0.8912318555080615,0.8885263643630983
0,1365767350729981958,ALLM4DRID,0.4,3.2,1.0,3.4,3.4,2.8,1.4,0.7968624754031172,0.8057684213303521
0,1477618111100514304,anujk_siag3,0.7,2.4,0.6,1.8,1.4,0.1,0.6,0.7717813288270262,0.7527121552274618
0,2276972606,dominic_doblo,0.1,3.2,0.2,3.6,3.6,2.0,0.6,0.7983123643488195,0.8057684213303521
0,1499788562518396929,almonia_ryan,0.0,4.6,2.8,4.5,4.6,3.4,2.4,0.8775350147366295,0.8737589760831781
0,1454762454739668999,Sagar_08790,0.3,4.2,4.1,4.3,4.3,3.1,3.4,0.8395863545645614,0.904303821618659
0,1051237856,TheAnnieMarple,0.1,1.5,0.0,1.2,0.7,0.4,0.6,0.5778862084370772,0.7527121552274618
0,65465970,kizhar,0.0,3.5,0.6,3.6,3.7,2.9,3.7,0.8008799175144752,0.8421031637823202
0,1135538116834594816,IMS0EMBARRASSED,0.2,0.6,0.1,0.6,0.9,0.0,0.2,0.659646495284545,0.40673978557586005
0,1395405088101965829,h_dbl26,0.0,1.4,0.3,2.5,2.5,0.0,1.0,0.7971612475312038,0.7784494983408411
0,1525321318081646593,Etnnsf,0.1,4.6,2.9,5.0,5.0,4.1,2.0,0.9373635156266058,0.8532920387559139
0,1481612637725151232,MEERHASSANAlee2,0.0,4.7,2.0,4.8,4.8,3.6,3.1,0.9077975241648624,1.0
0,350997380,MinJ_dubb,1.0,1.8,0.1,1.8,1.1,0.6,0.2,0.7176911080698488,0.7674214324358889
0,721616738,RollsRoyce904,0.0,1.8,0.2,1.0,1.2,0.0,1.5,0.7384783166429812,0.7219510972984345
0,535680304,DPCarv,0.8,0.0,0.0,0.2,0.2,0.0,0.0,0.30618807248975083,0.0
0,1489138800073015297,ABC80689914,0.1,5.0,2.8,5.0,5.0,2.8,1.2,1.0,1.0
0,1139441612478533639,ANKURSIROHIBSR,0.4,1.2,0.2,2.0,1.8,0.0,0.6,0.7907586934369296,0.792436790569533
0,700382211720278018,kusai_mb,0.8,0.6,2.0,3.4,3.4,0.1,0.4,0.7973765977480777,0.8023863559365568
0,1525318300741386240,amy_schurtz,0.1,4.4,3.8,5.0,5.0,3.0,0.9,0.9373635156266058,1.0
0,1525321063629959168,vijjuparmar25,0.2,4.6,2.7,4.8,4.8,2.8,1.7,0.923535423667034,0.8885263643630983
0,1525321154105602048,wpfh_527,0.6,3.8,3.4,4.5,4.5,3.4,2.8,0.8670116134145492,0.8421031637823202
0,945199352,MsOrtease,0.1,0.6,0.0,0.8,0.2,0.0,0.2,0.3342309004634953,0.7219510972984345
0,1325666858767355904,FTurpino,0.4,2.0,0.2,2.8,1.9,0.4,1.5,0.793087009461318,0.7828265255249504
0,2538655468,vanngoduc,0.0,4.0,0.4,4.0,4.0,2.4,3.4,0.812935016236137,0.8474634546636374
0,1207165582010933248,Luan84826299,0.4,5.0,2.9,4.8,5.0,2.8,2.6,1.0,0.9338419498718862
0,1525320562255568897,novoacristy,0.1,4.8,2.7,4.8,4.8,2.8,1.7,0.9222820964940959,1.0
0,1488865510515261440,BhaluUg,1.4,2.6,0.0,2.3,1.8,0.6,1.2,0.7892294694438972,0.8057684213303521
0,1364843968261931008,vishald51433242,0.2,3.2,1.4,2.8,3.2,0.2,1.7,0.796599114745521,0.7527121552274618
0,1524641960123715584,NguynKi29014717,0.2,4.1,1.7,5.0,5.0,4.4,3.8,1.0,0.8808312676897403
0,1488648390825201665,EggBruhh,0.3,3.2,0.6,3.4,4.0,4.0,2.1,0.812935016236137,0.8193478253485871
0,1450730423919812612,ElijahKagunda,0.6,0.6,0.0,0.2,1.5,0.0,0.4,0.7759887465100499,0.7219510972984345
0,1525320498682691584,Nikorn123456,0.2,4.4,2.3,5.0,5.0,3.6,1.6,1.0,0.9121502174127201
0,1455237885288976390,SmitaPatole3,1.4,1.9,0.6,2.8,1.8,0.8,0.8,0.7892294694438972,0.7865642668428161
0,1123211756111790081,KyrieEleison07,0.5,2.9,0.6,1.4,1.6,0.1,1.0,0.7852210697594887,0.8043181589918191
0,1031892967362109441,VishalM22950967,1.0,3.4,0.6,2.6,3.4,0.0,1.2,0.7968624754031172,0.8053747654061287
0,1217053589874495488,tarun523523,0.8,3.4,1.2,3.5,3.5,2.8,1.6,0.797782173166965,0.8057684213303521
0,788673175,MauAffa,0.3,0.6,0.2,1.8,1.0,0.0,0.1,0.6915799517497913,0.31739450135566455
0,840047923182354432,jks9162,0.2,4.9,1.8,4.6,4.9,2.7,2.8,0.9307543294922915,0.8885263643630983
0,1105774826441113600,MankhiAhmed,0.5,4.1,0.4,4.6,4.6,2.7,2.6,0.8748575042966269,0.8662905376040458
0,1525321470234198017,CooMan5x,0.6,4.4,2.9,4.1,4.4,3.4,3.0,0.8524047631581662,0.8474634546636374
0,1525320734335442944,MoneyCircle894,0.2,5.0,4.1,4.6,5.0,2.4,5.0,1.0,1.0
0,952843147,soliman_ooo,0.1,3.8,0.8,4.6,4.6,3.1,2.3,0.8829632678129363,0.8082278383974655
0,1244175269100843008,filipinohi10,0.2,1.4,0.3,2.4,1.7,0.0,0.2,0.7874002196908744,0.7219510972984345
0,1302228904547987458,bonkitis1,0.4,4.8,3.3,2.9,4.8,2.8,2.7,0.9077975241648624,1.0
0,1943181266,Muhamma44825641,0.2,1.6,0.4,2.0,0.7,0.0,0.6,0.5778862084370772,0.5742686032713971
0,1242008601129959425,sanchit_145,0.3,2.8,1.8,2.7,2.8,1.0,1.7,0.7969290189014606,0.8053088638387352
0,1525320978980450304,mdnoyanislam18,0.6,4.2,3.4,4.2,4.2,3.8,3.0,0.8339181685112829,0.8421031637823202
0,1494596553604218882,mominasif545,0.1,2.8,3.8,5.0,5.0,2.8,0.6,0.9373635156266058,1.0
0,36821051,eqgm,0.6,2.4,3.1,3.9,3.9,3.4,1.4,0.8076035454448582,0.8082278383974655
0,1380494605708263425,Vasanth33059797,0.2,4.2,2.8,3.5,4.2,0.6,1.9,0.8287549877594508,0.8474634546636374
0,1525321234128351232,kristofer64784,0.4,5.0,3.9,4.8,5.0,2.8,2.0,0.9373635156266058,1.0
0,1496725032231325699,CGZ_15,0.4,4.8,2.7,4.2,4.8,2.7,2.6,0.923535423667034,1.0
0,1525320707428823042,Mahdiyh1813,0.1,3.6,1.7,3.4,3.9,3.9,3.6,0.8076035454448582,0.8733944954488508
0,1181603609181487104,cesssaacrtz,0.2,3.7,0.4,1.7,3.7,0.0,1.8,0.8008799175144752,0.8074910771589409
0,50717836,farfarella,0.2,4.2,0.7,3.6,4.2,2.0,3.0,0.8287549877594508,0.8372129323854712
0,1519001749146808324,BlackMaIeB,0.5,3.0,0.4,3.6,3.8,3.8,1.2,0.8054784364249085,0.8169336709169681
0,1425552452489605122,BlackthoughttZ,0.7,1.0,0.0,0.4,1.6,0.0,0.6,0.7826357858330618,0.7966241294741505
0,1525320407779516418,Kashira05338945,0.2,4.8,3.1,4.1,4.8,2.7,1.3,0.9158377984126878,0.8885263643630983
0,950853965410836480,dauibs,0.4,3.8,1.6,3.1,3.8,0.6,2.2,0.8036706514015852,0.8288069415530707
0,1525320546862321664,0xAnon0003,0.6,4.2,4.4,4.4,4.4,2.9,3.2,0.8595061719862279,1.0
0,702524183251546113,brandonjo1982,0.2,0.6,0.2,2.0,0.8,1.7,0.2,0.6414184221423734,0.4658392474232361
0,37065612,Mari_Rea,0.2,3.6,1.6,3.6,3.6,2.6,2.3,0.7998362042473794,0.8053088638387352
0,3196558003,siiadam,0.1,4.4,3.8,5.0,5.0,2.9,0.3,0.9373635156266058,1.0
0,44495427,inFwetrust,0.2,1.6,0.2,1.4,1.6,1.2,1.0,0.779581525363529,0.801617083559931
0,1525320709039599617,NirajaJaina,0.5,4.5,4.1,4.4,4.5,2.7,2.8,0.8670116134145492,1.0
0,265733760,fajuradog,0.2,1.4,0.6,2.6,1.9,0.8,0.6,0.793087009461318,0.43650814830094437
0,165379668,sadhanasushilp,0.4,4.2,1.8,3.3,4.2,3.0,2.9,0.8339181685112829,0.9197876419218655
0,1432577253616070656,corvataa,0.2,5.0,1.7,4.0,5.0,1.4,3.8,0.9373635156266058,0.904303821618659
0,1180530366374744069,DylanTymes,0.4,0.4,0.2,0.3,0.2,0.0,0.0,0.30618807248975083,0.2603678379426137
0,1525320678374879233,OscarC3626,0.0,4.6,2.4,5.0,5.0,3.7,4.2,1.0,0.8662905376040458
0,1328040787,iNasserBarakat,0.0,4.4,0.7,3.9,4.4,2.6,3.6,0.8595061719862279,0.8885263643630983
0,550156877,MpMary5985,0.4,4.6,0.8,3.6,4.6,2.1,3.1,0.8912318555080615,0.8885263643630983
0,1409935892,deemahaladhami,0.2,2.2,0.9,4.1,4.1,0.2,0.8,0.816204310368583,0.7865642668428161
0,965604634365591552,AnandaB123456,0.4,3.5,1.0,2.5,4.0,0.6,4.0,0.8100783815308749,0.8053088638387352
0,1467371412964925442,Thatsnotme3000,0.1,4.0,3.2,3.9,4.0,1.4,2.9,0.812935016236137,0.8288069415530707
0,1140915250180444160,atuatoo,0.6,4.3,3.0,4.4,4.4,3.2,2.6,0.8457543526336647,0.8474634546636374
0,1267349578514411525,ArmandoCL07,0.3,4.4,0.9,4.0,4.4,2.6,3.2,0.8524047631581662,0.8421031637823202
0,414501212,Padilla63,0.4,1.8,0.4,2.2,1.8,0.1,1.0,0.7907586934369296,0.6415870166679795
0,1375325244525735937,NavinRa39056293,0.3,3.2,1.2,2.9,3.2,0.6,1.8,0.7965971518887632,0.7947108099739177
0,1456435783179685892,BrianTansy,0.2,3.4,0.8,3.2,3.6,3.6,2.7,0.7983123643488195,0.8421031637823202
0,1398530528316297218,OFFICEPAPPUSAHU,0.4,3.8,0.7,4.2,4.2,3.8,3.5,0.8339181685112829,0.8054092120440788
0,933772309,Sariah137,0.5,4.2,1.8,2.5,4.2,0.2,2.5,0.8287549877594508,0.8733944954488508
0,1525320591510601730,ShirleyDoughty4,1.1,3.8,2.5,3.4,3.8,2.9,2.0,0.8036706514015852,0.8421031637823202
0,816234116,williberich,0.2,1.7,0.6,1.7,1.8,0.4,1.4,0.7907586934369296,0.8045992970534486
0,311197710,blasbravo,1.6,0.9,0.4,2.2,1.0,0.0,0.2,0.7053377817049258,0.6415870166679795
0,1525320888362467328,Sandeep731015,0.4,4.6,4.0,3.2,4.6,2.6,2.0,0.8748575042966269,0.9270685798190942
0,1525321250704605184,PrinceJayr15,0.4,4.8,4.6,4.6,4.8,2.9,1.6,0.9158377984126878,0.9270685798190942
0,2421988730,francishwenhaf,0.3,1.8,0.1,1.8,0.4,2.3,0.4,0.4479465575931997,0.5742686032713971
0,1113332132443840513,XAlphonseX1,0.3,0.8,0.0,1.3,0.8,0.0,0.1,0.6414184221423734,0.5742686032713971
0,1525320008154644480,h_mehmood1,0.5,4.2,2.8,4.4,4.4,3.6,2.4,0.8595061719862279,0.8885263643630983
0,1525321108400087040,men_are_slaves,0.8,3.8,2.1,3.9,3.9,2.4,2.6,0.8076035454448582,0.8193478253485871
0,1465771673307734027,joycergladson,0.1,5.0,2.3,5.0,5.0,2.9,0.4,1.0,1.0
0,1459610846821191680,OldMasterShoe,0.0,2.0,0.2,3.6,4.3,4.3,1.0,0.8395863545645614,0.8421031637823202
0,1483094701993517059,iamosamakhan10,0.2,4.6,3.3,3.8,4.6,0.8,2.8,0.8857066148116794,0.9197876419218655
0,250499689,shutch09,0.0,0.4,0.3,0.4,0.2,0.0,0.1,0.3342309004634953,0.2603678379426137
0,1307871250979659776,MARKO38938371,0.6,5.0,2.6,4.4,5.0,2.4,3.1,1.0,1.0
0,546714336,ortiz_sir,0.6,3.2,0.8,2.1,3.2,0.9,1.8,0.796599114745521,0.8060512678410475
0,793544757016465408,fati_florentin,0.4,3.7,2.3,3.8,3.8,0.0,0.9,0.8021481695167405,0.8252572897541253
0,1510808552411074562,deaconbluesclu1,0.4,2.8,0.5,3.4,3.4,3.0,1.1,0.7973765977480777,0.8064216072785402
0,3395578625,cincuentasticas,0.5,0.8,0.0,1.8,1.1,0.4,0.4,0.7176911080698488,0.5222398722127631
0,1484755506606395395,LCMNB666,0.4,4.4,2.8,4.6,4.6,0.7,1.4,0.8912318555080615,0.8733944954488508
0,1422122206113329155,PoseidonDev3,0.2,5.0,1.0,3.9,5.0,3.2,3.8,0.9373635156266058,0.9270685798190942
0,1439702081288482816,Annie11517,0.5,2.8,1.4,3.3,3.3,2.3,2.2,0.7967206940193189,0.8074910771589409
0,2168875949,WeirdN1derful,0.0,2.1,0.2,0.2,1.4,0.0,0.4,0.7611878625273879,0.7527121552274618
0,1158607884344803328,Tommie834353591,0.4,0.8,0.1,0.6,1.0,0.0,0.4,0.6915799517497913,0.7089830786080018
0,272820561,m_sami_ullah,0.4,1.7,0.3,2.9,1.6,0.5,1.0,0.7852210697594887,0.6207049850511144
0,300598273,BreadMan_Joey,0.1,0.2,0.0,0.8,0.0,0.0,0.0,0.22631829961109876,0.28846389695411967
0,1480736221269688320,heyseva,0.1,4.8,1.3,4.6,4.8,4.1,4.3,0.9077975241648624,0.8733944954488508
0,1520263285878099968,SalmanM95123946,0.4,4.0,3.4,4.1,4.1,0.6,1.8,0.8199148539199458,0.8474634546636374
0,1361421296647741444,StaySo4py,0.0,4.1,0.1,3.3,4.1,3.6,1.6,0.816204310368583,0.8662905376040458
0,1093121181605978112,SukhDhaliwal99,0.6,3.8,3.6,4.0,4.0,2.4,2.6,0.8100783815308749,0.8052109974132647
0,1525319460676112384,Sainivicky611,0.2,4.7,2.4,4.4,4.7,3.4,2.5,0.9036917239552997,0.8885263643630983
0,1441601992762150917,bravebabu,0.2,3.2,0.4,4.8,4.8,3.7,1.8,0.9158377984126878,0.8074910771589409
0,956597306077401090,Kellyrdunn2,0.6,3.4,2.1,2.6,3.4,2.3,1.8,0.7968624754031172,0.8057684213303521
0,1525320153835384832,smay16077312,0.4,4.8,3.6,4.9,4.9,2.7,2.7,0.9307543294922915,0.9270685798190942
0,955469764301807616,sohan_chahal,0.2,1.5,0.9,1.6,1.8,0.0,0.6,0.7892294694438972,0.49449072748283696
0,1447865638219763713,EkoPras77630496,0.4,4.2,4.5,4.8,4.8,2.8,1.5,0.9158377984126878,0.8662905376040458
0,1940378492,legman69r,0.4,4.2,3.4,3.5,4.2,3.0,3.6,0.8287549877594508,0.8733944954488508
0,502383422,opepaez,1.1,0.4,0.0,2.2,1.0,0.0,0.0,0.7053377817049258,0.5488888157824968
0,18590021,JohnnyChop,0.3,2.7,0.4,2.7,1.6,2.6,1.4,0.7826357858330618,0.8052478284119403
0,1480125238335930376,chis_irt,0.1,3.8,3.9,4.9,4.9,2.8,1.2,0.9307543294922915,1.0
0,410356504,tequilamamiiii_,0.0,0.2,0.0,0.2,0.1,0.0,0.0,0.2520419704315795,0.40673978557586005
